# TESS Object of Interest
# File Created: 2020-10-26
# Sectors: S0001-S0029
# Date of previous TOI list release: 2020-10-23
Source Pipeline,Stellar Catalog,TIC,Full TOI ID,Signal ID,TOI Disposition,EXOFOP Disposition,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,VMag Value,VMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Alerted,Edited
spoc,gaia-dr2,176860064,1457.01,1,PC,FP,354.83668,45.719897,7.114,0.006,7.617,0.023,1766.359365,0.0013,6.375556,0.0007,2.784942,0.204,2638.408383,40.5502,17,No information on the star; V-shaped,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,236887394,1465.01,1,KP,KP,303.38174,65.162081,11.8478,0.0061,12.692,0.103,1766.006734,8e-05,1.420023,1e-06,1.623014,0.009436,23593.258233,89.22266,17 21 24 25,Qatar-1 b,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,427654774,1474.01,1,PC,,349.287339,70.190021,14.1431,0.007508,16.502,0.252,1765.042474,0.003388,5.222621,0.001436,4.693629,0.61336,15867.992018,2007.716,17 18,3-sigma centroid offset towards another star.,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,237086564,1466.01,1,PC,,307.395886,61.550433,11.0278,0.006,12.189,0.069,1766.253229,0.001272,1.871892,2.2e-05,1.644789,0.260366,1031.773654,75.49385,17 24,potential L1 candidate,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,240968774,1467.01,1,PC,,19.113929,49.23378,10.5977,0.007301,12.293,0.017,1766.983728,0.002812,5.973384,0.001413,1.605698,0.753235,1373.411277,166.74307,17,,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,431514478,1475.01,1,PC,,357.001182,49.790535,8.77994,0.0061,8.79,0.03,1767.618296,0.001783,8.495351,0.00127,0.906055,0.48717,718.486945,96.2614,17,Significant scattered light; only two transits; period could be doubled; second transit deeper than the first one; low priority,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,243185500,1468.01,1,PC,,16.654062,19.225878,10.8858,0.007542,12.5,0.2,1766.928147,0.002013,15.531925,0.002694,1.75933,0.214408,3429.583608,286.74982,17,possible multi,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,16920150,1459.01,1,PC,,19.361505,26.746175,10.1583,0.0062,11.031,0.014,1765.545981,0.004576,9.155934,0.003159,3.141202,0.862038,908.241256,124.59452,17,,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,243185500,1468.02,2,PC,,16.654062,19.225878,10.8858,0.007542,12.5,0.2,1765.678776,0.001847,1.880305,0.000266,1.055416,0.550014,1529.822108,180.69878,17,Centroid offset; but not towards a particular star; possible multi,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,17005768,1460.01,1,PC,FP,20.61057,26.925749,9.9176,0.006,10.56,0.008,1765.265174,0.000837,6.842651,0.000476,3.345632,0.071432,8120.077557,152.06758,17,There is a positive flare-like feature following the transit events,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,44631965,1461.01,1,PC,FP,22.236225,35.864814,11.3805,0.0079,11.953,0.024,1767.317052,0.000472,3.568678,0.00015,2.581118,0.029444,20121.185466,267.08032,17,,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,283722336,1469.01,1,KP,KP,348.320728,57.168355,4.6278,0.0065,5.56911,0.023,1765.954785,0.000386,3.092927,1.1e-05,0.850397,0.035227,265.767206,11.512051,17 24,HD 219134 b,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,283722336,1469.02,2,KP,KP,348.320728,57.168355,4.6278,0.0065,5.56911,0.023,1766.169561,0.000699,6.765084,4.5e-05,1.578535,0.087142,280.218937,13.980253,17 24,HD 219134 c,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,284441182,1470.01,1,PC,,10.088709,61.213626,11.4752,0.007299,13.459,0.036,1766.468651,0.001024,2.527083,2.6e-05,1.295318,0.398363,1922.538506,154.51329,17 18 24,crowded field; level 1 candidate,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,432549364,1476.01,1,KP,KP,0.362154,39.383828,10.2242,0.0061,10.632,0.007,1765.533801,0.000299,1.217509,2.8e-05,2.731299,0.028348,6587.475934,74.7258,17,KELT 1b,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,306263608,1471.01,1,PC,,30.904272,21.280864,8.5725,0.006,9.2,0.03,1767.42,0.003702,20.772024,0.005211,6.543088,0.256768,1400.875814,74.66255,17,Likely multi-planet system; centroid offset not significant,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,306955329,1472.01,1,PC,,14.113588,48.637575,10.5508,0.0061,11.302,0.014,1765.605845,0.001838,6.364103,0.000996,2.553493,0.269312,2514.173371,184.78159,17,,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,188768068,1462.01,1,PC,,261.350233,52.790686,5.8961,0.006,6.47915,0.023,1766.051162,0.001044,2.177946,1.9e-05,2.223716,0.185482,90.099042,7.146146,17 20 24 25 26,HD 158259b,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,190998418,1463.01,1,KP,KP,7.053932,42.061373,12.0401,0.0079,12.614,0.08,1764.891401,0.00074,2.879303,0.000173,2.786377,0.069171,12364.563866,257.76584,17,Qatar-5 b,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,352413427,1473.01,1,PC,,15.598197,37.185483,8.297,0.006,8.844,0.002,1769.784413,0.002719,5.255294,0.001298,3.274737,0.26765,557.893757,51.192787,17,Level 1,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,229944666,1464.01,1,PC,,288.384837,62.203068,10.8597,0.0069,11.371,0.024,1693.465953,0.002593,11.312334,0.000151,2.604832,0.228564,868.645459,51.907696,14 15 16 17 18 19 20 21 22 23 24 25 26,"most SPOC centroids are off target towards 8 mag star 100"" NE",2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,191284318,1458.01,1,KP,KP,9.57316,42.463116,10.374,0.006,10.911,0.008,1766.82154,0.00047,2.77598,0.00011,2.984,0.043,13920.0,1.21301,17,HAT-P-16 b,2019-12-05 16:42:06+0000,2020-10-07 22:47:42+0000
spoc,tic8,240681314,1477.01,1,KP,KP,9.458792,51.288766,10.6496,0.006,10.966,0.007,1765.648866,0.000604,2.732681,0.000116,2.251578,0.037578,9141.319377,293.4926,17,WASP-93 b,2019-12-05 19:37:03+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,409794137,1478.01,1,PC,,126.43378,-13.559841,10.204,0.006,10.723,0.009,1495.91645,0.00088,10.18708,,3.557,0.06,6030.0,0.299875,7 8,,2019-12-05 19:41:20+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,67309890,1484.01,1,PC,FP,343.156375,48.550085,10.211,0.006,10.884,0.007,1739.46756,0.00281,1.16237,0.00022,1.33,0.185,1196.63,1.65083,16 17,,2019-12-05 21:41:09+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,410528770,1502.01,1,PC,,328.215739,60.569105,10.482,0.006,11.016,0.009,1740.81598,0.0026,2.75347,0.00025,3.463,0.227,2880.0,647.897,16 17,V-shaped and some odd-even,2019-12-05 21:41:09+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,177244357,1538.01,1,PC,,356.995758,47.655686,9.893,0.006,10.352,0.005,1768.84707,0.00567,6.54692,0.00492,4.589,0.638,2400.0,7.33841,17,Low priority; other very long transit-like features in the raw light curve; period could be double,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,202375913,1527.01,1,PC,,5.965464,51.468301,9.697,0.009,9.982,0.003,1768.23572,0.00291,5.06203,0.00128,3.683,0.29,2900.0,1.08938,17,,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,428065977,1503.01,1,PC,,339.120292,52.115759,10.235,0.012,10.644,0.007,1739.14094,0.01174,1.65445,0.00067,3.194,0.676,610.0,2.04355,16 17,Potential level 1 candidate,2019-12-05 21:41:09+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,15692883,1493.01,1,PC,CP,17.474856,25.681696,9.712,0.01,10.295,0.006,1764.8563,0.0026,5.14124,0.00096,5.405,0.802,3710.0,4.56814,17,,2019-12-05 21:41:09+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,411608801,1494.01,1,PC,CP,18.995212,21.616946,10.3,0.009,10.81,0.009,1765.60356,0.00114,5.02647,0.00042,2.76,0.36,7280.0,4.0447,17,,2019-12-05 21:41:09+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,252636888,1539.01,1,PC,,346.518401,52.78709,10.412,0.013,11.205,0.01,1740.57198,0.01059,2.58929,0.00086,3.842,0.706,580.0,1.9029,16 17,Crowded field; some centroid offset,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,376637093,1516.01,1,PC,,340.084421,69.503737,10.377,0.006,10.858,0.008,1765.32531,0.00019,2.05603,1e-05,2.829,0.015,16570.0,0.213889,17 18,TOI 1516; TFOP investigation ongoing,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,326114850,1504.01,1,PC,FP,331.569625,52.701936,9.986,0.006,10.581,0.006,1739.37807,0.00347,1.24564,0.00017,1.353,0.313,630.0,1.72437,16 17,Potential level 1 candidate,2019-12-05 21:41:09+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,285543785,1528.01,1,PC,,13.222022,60.891685,9.716,0.033,10.049,0.004,1772.16702,0.00145,9.93856,0.00062,3.92,0.154,7390.0,2755.99,17 18,No stellar information,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,241065596,1550.01,1,PC,FP,21.736191,49.388656,10.294,0.007,10.638,0.008,1765.12677,0.00124,1.62315,8e-05,1.438,0.074,2470.0,1.69438,17 18,,2019-12-05 21:41:11+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,455962313,1517.01,1,PC,FP,340.036593,65.439728,9.599,0.043,10.234,0.005,1766.04222,0.00387,4.51083,0.0006,2.391,0.442,860.0,1.73092,17 18,Retired as TFOP NEB FP; no stellar parameters; could be twice the period,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,312259170,1529.01,1,PC,FP,11.042771,59.464502,10.405,0.031,10.527,0.006,1764.94054,0.00115,0.8229,3e-05,2.068,0.213,2660.0,4.5744,17 18,Some odd-even,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,288348498,1551.01,1,PC,,19.700452,41.506184,9.967,0.008,10.337,0.006,1765.11138,0.00229,1.67546,0.00029,1.202,0.196,1250.0,2.65702,17,,2019-12-05 21:41:11+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,427761355,1518.01,1,PC,,352.267603,67.034827,8.751,0.006,8.952,0.003,1766.1206,0.00019,1.90261,1e-05,2.047,0.066,9110.0,4.14258,17 18,,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,331034236,1505.01,1,PC,,326.091794,58.551682,9.271,0.006,9.772,0.003,1740.69491,0.009,3.42985,0.0012,3.678,0.764,480.0,1.20055,16 17,Some odd-even,2019-12-05 21:41:09+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,312469860,1530.01,1,PC,FP,12.881303,55.711029,9.947,0.006,10.444,0.005,1764.79362,0.0013,0.50261,2e-05,1.127,0.237,1120.0,2.96692,17 18,Significant secondary; likely EB; Slight depth-aperture correlation; variable star,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,326919774,1552.01,1,PC,,22.973008,46.399845,8.19,0.007,8.25,0.03,1771.77219,0.00876,7.57193,0.00278,2.656,0.597,420.0,1.97351,17 18,Variable star,2019-12-05 21:41:11+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,312678993,1531.01,1,PC,APC,13.597382,54.528031,8.359,0.008,9.107,0.002,1765.07197,0.00075,0.51731,1e-05,1.339,0.114,1880.0,1.15645,17 18,check neighbors; likely nearby binary system,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,327341626,1553.01,1,PC,FP,24.69044,42.677784,10.348,0.007,10.649,0.007,1768.407,0.00165,5.93815,0.00033,2.467,0.191,5090.0,171.747,17 18,Could be on 327341633,2019-12-05 21:41:11+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,272049972,1519.01,1,PC,FP,355.416646,62.921516,10.191,0.006,10.639,0.007,1765.3297,0.00082,1.09589,3e-05,2.817,0.03,3970.0,330.716,17 18,,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
qlp,gaia-dr2,318746829,1540.01,1,PC,FP,349.718637,56.008613,10.423,0.023,14.105,0.08,1769.3971,0.00287,5.23121,0.00326,3.826,0.673,3043.98,5.1476,17,TFOP NEB; possible secondary; Gaia parameters suggest star is a giant,2019-12-05 21:41:10+0000,2020-10-07 22:47:42+0000
